sigla_cargo_funcao,nome_cargo_funcao,nivel_cargo_funcao,remuneracao,cce_unitario
CCE,Cargo Comissionado Executivo ,CCE 1 18,17327.65,6.41
CCE,Cargo Comissionado Executivo ,CCE 1 17,16944.9,6.27
CCE,Cargo Comissionado Executivo ,CCE 1 16,15688.92,5.81
CCE,Cargo Comissionado Executivo ,CCE 1 15,13623.39,5.04
CCE,Cargo Comissionado Executivo ,CCE 1 14,11652.88,4.31
CCE,Cargo Comissionado Executivo ,CCE 1 13,10373.3,3.84
CCE,Cargo Comissionado Executivo ,CCE 1 12,8383.17,3.1
CCE,Cargo Comissionado Executivo ,CCE 1 11,6684.53,2.47
CCE,Cargo Comissionado Executivo ,CCE 1 10,5734.58,2.12
CCE,Cargo Comissionado Executivo ,CCE 1 09,4502.43,1.67
CCE,Cargo Comissionado Executivo ,CCE 1 08,4318.33,1.6
CCE,Cargo Comissionado Executivo ,CCE 1 07,3743.33,1.39
CCE,Cargo Comissionado Executivo ,CCE 1 06,3169.81,1.17
CCE,Cargo Comissionado Executivo ,CCE 1 05,2701.46,1
CCE,Cargo Comissionado Executivo ,CCE 1 04,1199.76,0.44
CCE,Cargo Comissionado Executivo ,CCE 1 03,999.54,0.37
CCE,Cargo Comissionado Executivo ,CCE 1 02,559.05,0.21
CCE,Cargo Comissionado Executivo ,CCE 1 01,330.79,0.12
CCE,Cargo Comissionado Executivo ,CCE 2 17,16944.9,6.27
CCE,Cargo Comissionado Executivo ,CCE 2 16,15688.92,5.81
CCE,Cargo Comissionado Executivo ,CCE 2 15,13623.39,5.04
CCE,Cargo Comissionado Executivo ,CCE 2 14,11652.88,4.31
CCE,Cargo Comissionado Executivo ,CCE 2 13,10373.3,3.84
CCE,Cargo Comissionado Executivo ,CCE 2 12,8383.17,3.1
CCE,Cargo Comissionado Executivo ,CCE 2 11,6684.53,2.47
CCE,Cargo Comissionado Executivo ,CCE 2 10,5734.58,2.12
CCE,Cargo Comissionado Executivo ,CCE 2 09,4502.43,1.67
CCE,Cargo Comissionado Executivo ,CCE 2 08,4318.33,1.6
CCE,Cargo Comissionado Executivo ,CCE 2 07,3743.33,1.39
CCE,Cargo Comissionado Executivo ,CCE 2 06,3169.81,1.17
CCE,Cargo Comissionado Executivo ,CCE 2 05,2701.46,1
CCE,Cargo Comissionado Executivo ,CCE 2 04,1199.76,0.44
CCE,Cargo Comissionado Executivo ,CCE 2 03,999.54,0.37
CCE,Cargo Comissionado Executivo ,CCE 2 02,559.05,0.21
CCE,Cargo Comissionado Executivo ,CCE 2 01,330.79,0.12
CCE,Cargo Comissionado Executivo ,CCE 3 16,15688.92,5.81
CCE,Cargo Comissionado Executivo ,CCE 3 15,13623.39,5.04
CCE,Cargo Comissionado Executivo ,CCE 3 14,11652.88,4.31
CCE,Cargo Comissionado Executivo ,CCE 3 13,10373.3,3.84
CCE,Cargo Comissionado Executivo ,CCE 3 12,8383.17,3.1
CCE,Cargo Comissionado Executivo ,CCE 3 11,6684.53,2.47
CCE,Cargo Comissionado Executivo ,CCE 3 10,5734.58,2.12
CCE,Cargo Comissionado Executivo ,CCE 3 09,4502.43,1.67
CCE,Cargo Comissionado Executivo ,CCE 3 08,4318.33,1.6
CCE,Cargo Comissionado Executivo ,CCE 3 07,3743.33,1.39
CCE,Cargo Comissionado Executivo ,CCE 3 06,3169.81,1.17
CCE,Cargo Comissionado Executivo ,CCE 3 05,2701.46,1
CCE,Cargo Comissionado Executivo ,CCE 3 04,1199.76,0.44
CCE,Cargo Comissionado Executivo ,CCE 3 03,999.54,0.37
CCE,Cargo Comissionado Executivo ,CCE 3 02,559.05,0.21
CCE,Cargo Comissionado Executivo ,CCE 3 01,330.79,0.12
CA,Cargo Comissionado de Assessoria ,CA I,13945.71,5.16
CA,Cargo Comissionado de Assessoria ,CA II,13074.1,4.84
CA,Cargo Comissionado de Assessoria ,CA III,3639.84,1.35
CAS,Cargo Comissionado de Assistência ,CAS I,2753.42,1.02
CAS,Cargo Comissionado de Assistência ,CAS II,2386.29,0.88
CCD,Cargo Comissionado de Direção ,CCD I,17432.15,6.45
CCD,Cargo Comissionado de Direção ,CCD II,16560.54,6.13
CGE,Cargo Comissionado de Gerência Executiva ,CGE I,15688.92,5.81
